source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Peter Morici Economist: Tariffs will not impact American consumers that much because the Chinese currency has gone down which gives our importers a discount. Importers can find suppliers outside of China. Absolutely worth it we don’t want to be servants to the Chinese! This...,09/01/19,14454,65380,FALSE,1.17E+18
Twitter for iPhone,Just watched Congresswoman Debbie Dingell and many other Democrats wanting to give up on our very successful Trade battle with China which has had its worst Economic year in memory (and getting worse). We are taking in $Billions. Will be big for Farmers and ALL!,08/31/19,15714,68053,FALSE,1.17E+18
Twitter for iPhone,General Motors which was once the Giant of Detroit is now one of the smallest auto manufacturers there. They moved major plants to China BEFORE I CAME INTO OFFICE. This was done despite the saving help given them by the USA. Now they should start moving back to America again?,08/30/19,17115,78736,FALSE,1.17E+18
Twitter for iPhone,So interesting to read and see all of the free and interesting advice I am getting on China from people who have tried to handle it before and failed miserably - In fact they got taken to the cleaners. We are doing very well with China. This has never happened to them before!,08/28/19,24313,111589,FALSE,1.17E+18
Twitter for iPhone,In France we are all laughing at how knowingly inaccurate the U.S. reporting of events and conversations at the G-7 is. These Leaders and many others are getting a major case study of Fake News at it’s finest! They’ve got it all wrong from Iran to China Tariffs to Boris!,08/25/19,22858,86619,FALSE,1.17E+18
Twitter for iPhone,"RT @WhiteHouse: ""We have excess corn in various parts of our country with our farmers because China did not do what they said they were goi…",08/25/19,17347,0,TRUE,1.17E+18
Twitter for iPhone,When I looked up to the sky and jokingly said “I am the chosen one” at a press conference two days ago referring to taking on Trade with China little did I realize that the media would claim that I had a “Messiah complex.” They knew I was kidding being sarcastic and just....,08/24/19,26741,136543,FALSE,1.17E+18
Twitter for iPhone,For all of the Fake News Reporters that don’t have a clue as to what the law is relative to Presidential powers China etc. try looking at the Emergency Economic Powers Act of 1977. Case closed!,08/24/19,23571,91740,FALSE,1.17E+18
Twitter for iPhone,RT @TreasurySpox: U.S. Treasury Designates China as a Currency Manipulator: https://t.co/7OnySGjzH1,08/24/19,5659,0,TRUE,1.17E+18
Twitter for iPhone,...unfair Trading Relationship. China should not have put new Tariffs on 75 BILLION DOLLARS of United States product (politically motivated!). Starting on October 1st the 250 BILLION DOLLARS of goods and products from China currently being taxed at 25% will be taxed at 30%...,08/23/19,15554,67154,FALSE,1.17E+18
Twitter for iPhone,...Additionally the remaining 300 BILLION DOLLARS of goods and products from China that was being taxed from September 1st at 10% will now be taxed at 15%. Thank you for your attention to this matter!,08/23/19,17058,74013,FALSE,1.17E+18
Twitter for iPhone,For many years China (and many other countries) has been taking advantage of the United States on Trade Intellectual Property Theft and much more. Our Country has been losing HUNDREDS OF BILLIONS OF DOLLARS a year to China with no end in sight....,08/23/19,21042,87990,FALSE,1.17E+18
Twitter for iPhone,....Sadly past Administrations have allowed China to get so far ahead of Fair and Balanced Trade that it has become a great burden to the American Taxpayer. As President I can no longer allow this to happen! In the spirit of achieving Fair Trade we must Balance this very....,08/23/19,7879,29719,FALSE,1.17E+18
